,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,411786,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,336674,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,303880,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",268039,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"At My Worst","Pink Sweat$",248760,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
6,"Melukis Senja","Budi Doremi",212855,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
7,"drivers license","Olivia Rodrigo",203191,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
8,Weak,"Larissa Lambert",185231,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
9,"Putus Atau Terus",Judika,181611,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
10,"Leave The Door Open","Bruno Mars",174082,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
11,"Mungkin Hari Ini Esok Atau Nanti",Anneth,161210,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
12,Yours,Raiden,159277,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
13,happy,Skinnyfabs,158794,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",145754,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
15,Snowman,Sia,145232,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
16,"Hold On","Justin Bieber",141252,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
17,Heather,"Conan Gray",135153,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
18,Kota,Dere,131102,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
19,"One Only",Pamungkas,129846,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
20,"Katakan Saja",Khifnu,122718,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
21,"Hurts So Good","Astrid S",120948,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
22,"Kenangan Manis",Pamungkas,115944,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
23,"Makna Cinta","Rizky Febian",115296,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
24,Lantas,"Juicy Luicy",114124,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
25,Monolog,Pamungkas,114033,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
26,Dynamite,BTS,113004,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
27,"Rumah Ke Rumah",Hindia,111800,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
28,34+35,"Ariana Grande",109875,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
29,Cuek,"Rizky Febian",109642,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
30,"Maafkan Aku #terlanjurmencinta","Tiara Andini",107796,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
31,positions,"Ariana Grande",105637,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
32,"I Love You but I'm Letting Go",Pamungkas,103554,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
33,Lose,NIKI,102459,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
34,"Into Your Arms (feat. Ava Max)","Witt Lowry",102017,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
35,"Bahasa Kalbu",Raisa,101877,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
36,"I'm Missing You",Sunjae,99567,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
37,"Before You Go","Lewis Capaldi",98385,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
38,C.H.R.I.S.Y.E.,Diskoria,97445,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
39,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",96957,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
40,"Life Goes On",BTS,96808,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
41,"Stuck with U (with Justin Bieber)","Ariana Grande",96630,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
42,"Resah Jadi Luka","Daun Jatuh",96103,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
43,"Good Days",SZA,85929,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
44,"Kukira Kau Rumah",Amigdala,85495,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
45,"Tanpa Batas Waktu - 8D Version","Ade Govinda",84925,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
46,Sofia,Clairo,83983,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
47,"Mood (feat. iann dior)",24kGoldn,83558,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
48,Secukupnya,Hindia,83070,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
49,Copines,"Aya Nakamura",82403,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
50,"Cinta Dalam Hati",Ungu,80658,https://open.spotify.com/track/4MaEMiH9lXR0NAcsrgJcuO
51,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",71296,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
52,telepatía,"Kali Uchis",69906,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
53,"Someone You Loved","Lewis Capaldi",67693,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
54,"Pura Pura Lupa",Mahen,66726,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
55,"Aku Yang Salah",Mahalini,66535,https://open.spotify.com/track/0OgwkVbQ4jVfsZJO4Xs9hC
56,"I Still Love You",TheOvertunes,66153,https://open.spotify.com/track/4reIsHKw5hUj4pV8zzMjLA
57,"Lonely (with benny blanco)","Justin Bieber",65954,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
58,"Sesuatu Di Jogja","Adhitia Sofyan",65801,https://open.spotify.com/track/0MAIxtXWimwhAAQOST9jp7
59,"Waktu Yang Salah","Fiersa Besari",63880,https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
60,"if u could see me cryin' in my room","Arash Buana",63683,https://open.spotify.com/track/2yynRDKYqTLVTcP7FqoyVE
61,Closure,Pamungkas,60636,https://open.spotify.com/track/3XJ9dvjhpxh49PyjRdn1Lu
62,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",59294,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI
63,bitterlove,"Ardhito Pramono",57902,https://open.spotify.com/track/74OLXYsvpfmSgPCMMi898K
64,"Somebody That I Used To Know",Gotye,57696,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
65,lowkey,NIKI,56880,https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi
66,"Kau Lagi","Celine & Nadya",56774,https://open.spotify.com/track/6RsvbZ6gFjRSOFonpf55mT
67,"Reflection - From ""Mulan""","Yura Yunita",56573,https://open.spotify.com/track/1H5tV0SkvBqxGllQ3HEVSy
68,"you broke me first","Tate McRae",55732,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
69,"La La Lost You - Acoustic Version",NIKI,54798,https://open.spotify.com/track/5WkCcSa78lM1Ym4LXzJUiN
70,"Tanpa Tergesa","Juicy Luicy",54036,https://open.spotify.com/track/3Jby9Ezr1E7wCsXe0Dexa6
71,"Seperti Kisah","Rizky Febian",51471,https://open.spotify.com/track/6nxQa68jVCLlYQsT3fi4G1
72,"Backyard Boy (with Jeremy Zucker)","Claire Rosinkranz",50734,https://open.spotify.com/track/4rE4qF4baoXpustrgtnFRw
73,"Mantra Cinta","Rizky Febian",50299,https://open.spotify.com/track/2ROCaprX5ROfL2GkkbkCWy
74,Memories,"Maroon 5",49695,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
75,"You Got It",Vedo,49685,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
76,"Lovesick Girls",BLACKPINK,49534,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
77,Psycho,"Red Velvet",49142,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
78,Arcade,"Duncan Laurence",48720,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
