,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,681176,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,296904,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,293059,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",267329,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"On The Ground",ROSÉ,258870,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
6,"At My Worst","Pink Sweat$",221994,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,Gone,ROSÉ,207567,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
8,"Melukis Senja","Budi Doremi",204852,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Leave The Door Open","Bruno Mars",201899,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"Putus Atau Terus",Judika,178900,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
11,"drivers license","Olivia Rodrigo",176839,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,happy,Skinnyfabs,164359,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,Weak,"Larissa Lambert",158227,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
14,"One Only",Pamungkas,157670,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
15,Yours,Raiden,156403,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
16,"Mungkin Hari Ini Esok Atau Nanti",Anneth,145686,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
17,"Hold On","Justin Bieber",141916,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
18,"Kenangan Manis",Pamungkas,141491,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
19,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",138855,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
20,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",130865,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
21,Monolog,Pamungkas,129229,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
22,Heather,"Conan Gray",129191,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
23,Snowman,Sia,125628,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
24,Kota,Dere,119708,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
25,"I Love You but I'm Letting Go",Pamungkas,119022,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
26,Lantas,"Juicy Luicy",111236,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
27,"Katakan Saja",Khifnu,108321,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
28,Celebrity,IU,107545,https://open.spotify.com/track/4RewTiGEGoO7FWNZUmp1f4
29,"Rumah Ke Rumah",Hindia,107253,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
30,"Makna Cinta","Rizky Febian",104422,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
31,"Maafkan Aku #terlanjurmencinta","Tiara Andini",101233,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
32,Lose,NIKI,100683,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
33,34+35,"Ariana Grande",97245,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
34,"Before You Go","Lewis Capaldi",96732,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
35,positions,"Ariana Grande",96517,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
36,"Bahasa Kalbu",Raisa,96204,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
37,"I'm Missing You",Sunjae,96121,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
38,"Hurts So Good","Astrid S",96115,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
39,C.H.R.I.S.Y.E.,Diskoria,95122,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
40,"Resah Jadi Luka","Daun Jatuh",92983,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
41,"Stuck with U (with Justin Bieber)","Ariana Grande",92091,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
42,"Life Goes On",BTS,91743,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
43,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",91599,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
44,Dynamite,BTS,88748,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
45,"Into Your Arms (feat. Ava Max)","Witt Lowry",85557,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
46,Cuek,"Rizky Febian",83818,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
47,"Kukira Kau Rumah",Amigdala,82917,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
48,"Tanpa Batas Waktu - 8D Version","Ade Govinda",79466,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
49,"Belum Siap Kehilangan","Stevan Pasaribu",78809,https://open.spotify.com/track/56Uibq6ur2xwUpSd9biBH1
50,"Mood (feat. iann dior)",24kGoldn,77876,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
51,"Lonely (with benny blanco)","Justin Bieber",74608,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
52,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",71088,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
53,Secukupnya,Hindia,69063,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
54,Sofia,Clairo,68696,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
55,"I Still Love You",TheOvertunes,68365,https://open.spotify.com/track/4reIsHKw5hUj4pV8zzMjLA
56,"Someone You Loved","Lewis Capaldi",67617,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
57,telepatía,"Kali Uchis",66668,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
58,"if u could see me cryin' in my room","Arash Buana",66592,https://open.spotify.com/track/2yynRDKYqTLVTcP7FqoyVE
59,"Pura Pura Lupa",Mahen,66571,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
60,Closure,Pamungkas,66330,https://open.spotify.com/track/3XJ9dvjhpxh49PyjRdn1Lu
61,"Sesuatu Di Jogja","Adhitia Sofyan",65594,https://open.spotify.com/track/0MAIxtXWimwhAAQOST9jp7
62,"Good Days",SZA,63534,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
63,"Aku Yang Salah",Mahalini,62701,https://open.spotify.com/track/0OgwkVbQ4jVfsZJO4Xs9hC
64,Copines,"Aya Nakamura",62600,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
65,"Cinta Dalam Hati",Ungu,61738,https://open.spotify.com/track/4MaEMiH9lXR0NAcsrgJcuO
66,"Waktu Yang Salah","Fiersa Besari",61348,https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
67,bitterlove,"Ardhito Pramono",60024,https://open.spotify.com/track/74OLXYsvpfmSgPCMMi898K
68,"After School",Weeekly,59651,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
69,"Astronaut In The Ocean","Masked Wolf",59494,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
70,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",59322,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI
71,lowkey,NIKI,56756,https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi
72,Arcade,"Duncan Laurence",54318,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
73,Sorry,Pamungkas,53549,https://open.spotify.com/track/4gW0fnArZ93uAElSkuw0PG
74,"La La Lost You - Acoustic Version",NIKI,53056,https://open.spotify.com/track/5WkCcSa78lM1Ym4LXzJUiN
75,"Seperti Kisah","Rizky Febian",52501,https://open.spotify.com/track/6nxQa68jVCLlYQsT3fi4G1
76,"Tanpa Tergesa","Juicy Luicy",52438,https://open.spotify.com/track/3Jby9Ezr1E7wCsXe0Dexa6
77,"Somebody That I Used To Know",Gotye,51750,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
78,"Night Changes","One Direction",51643,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ
79,"Reflection - From ""Mulan""","Yura Yunita",51592,https://open.spotify.com/track/1H5tV0SkvBqxGllQ3HEVSy
80,Memories,"Maroon 5",49790,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
81,"Sweet Scar","Weird Genius",49533,https://open.spotify.com/track/3R0FDwQSXOiO5gaOZFxKZ5
82,Rollin',"Brave Girls",49238,https://open.spotify.com/track/2VJOpzv5sBpstCX9venJr5
83,"Terlalu Cinta",Rossa,49092,https://open.spotify.com/track/6I9rJKR6WPRir6XoAaaJvH
84,"you broke me first","Tate McRae",48310,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
85,"I Love You 3000","Stephanie Poetri",48190,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
86,"Kau Lagi","Celine & Nadya",47858,https://open.spotify.com/track/6RsvbZ6gFjRSOFonpf55mT
87,"Garis Terdepan","Fiersa Besari",47703,https://open.spotify.com/track/4JozU4Ud30FGyDYzoUKasI
88,Rehat,"Kunto Aji",47383,https://open.spotify.com/track/7mjO4RbTZIb1SfE8G673Lm
89,Runaway,AURORA,47201,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
90,"Lovesick Girls",BLACKPINK,46841,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
91,"Adu Rayu","Yovie Widianto",46658,https://open.spotify.com/track/3FcCAFQj4bLpfxo8gj1kk9
92,"Ku Dengannya Kau Dengan Dia",Afgan,46231,https://open.spotify.com/track/1dB3siDxgzX7i1So4igd3x
93,"Holy (feat. Chance The Rapper)","Justin Bieber",45272,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
94,2002,Anne-Marie,45206,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
95,"Mantra Cinta","Rizky Febian",44803,https://open.spotify.com/track/2ROCaprX5ROfL2GkkbkCWy
96,"Save Your Tears","The Weeknd",44702,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
97,Psycho,"Red Velvet",44622,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
98,"Don't Watch Me Cry","Alex Porat",44194,https://open.spotify.com/track/42i8mO4cQdsUmn5In7jony
99,"LATHI (with Sara Fajira)","Weird Genius",44103,https://open.spotify.com/track/06pezDUwqVsUfpBNw6uJir
