,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heartbreak Anniversary",Giveon,366132,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2,"Blue Jeans",GANGGA,298077,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
3,Bertaut,"Nadin Amizah",272947,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
4,"At My Worst","Pink Sweat$",255001,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
5,"Melukis Senja","Budi Doremi",223408,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
6,"drivers license","Olivia Rodrigo",216343,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
7,"To the Bone",Pamungkas,196799,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
8,"Putus Atau Terus",Judika,195020,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
9,Weak,"Larissa Lambert",191216,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
10,"Mungkin Hari Ini Esok Atau Nanti",Anneth,166767,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
11,Snowman,Sia,161359,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
12,Yours,Raiden,160975,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
13,happy,Skinnyfabs,160694,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",152682,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
15,Heather,"Conan Gray",141945,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
16,"Katakan Saja",Khifnu,129882,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
17,"Hurts So Good","Astrid S",129101,https://open.spotify.com/track/46ydq5g3k17iLJs3qMDvO6
18,Kota,Dere,127752,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
19,"Makna Cinta","Rizky Febian",125306,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
20,"Into Your Arms (feat. Ava Max)","Witt Lowry",120915,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
21,34+35,"Ariana Grande",120867,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
22,Dynamite,BTS,117934,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
23,Cuek,"Rizky Febian",116199,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
24,"I'm Missing You",Sunjae,114966,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
25,positions,"Ariana Grande",112592,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
26,"Rumah Ke Rumah",Hindia,110175,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
27,Lantas,"Juicy Luicy",109456,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
28,"Maafkan Aku #terlanjurmencinta","Tiara Andini",109401,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
29,"Bahasa Kalbu",Raisa,106355,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
30,"Life Goes On",BTS,104757,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
31,Lose,NIKI,103525,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
32,"Before You Go","Lewis Capaldi",103096,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
33,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",102142,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
34,"Stuck with U (with Justin Bieber)","Ariana Grande",100859,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
35,"One Only",Pamungkas,99788,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
36,C.H.R.I.S.Y.E.,Diskoria,98434,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
37,"Resah Jadi Luka","Daun Jatuh",98198,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
38,Copines,"Aya Nakamura",96592,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
39,Monolog,Pamungkas,94069,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
40,"Good Days",SZA,92467,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
41,"Kenangan Manis",Pamungkas,91886,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
42,Sofia,Clairo,89205,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
