,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heartbreak Anniversary",Giveon,340338,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2,"Blue Jeans",GANGGA,278008,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
3,Bertaut,"Nadin Amizah",253965,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
4,"At My Worst","Pink Sweat$",239317,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
5,"To the Bone",Pamungkas,208896,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
6,"Melukis Senja","Budi Doremi",208607,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
7,"drivers license","Olivia Rodrigo",193159,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
8,Weak,"Larissa Lambert",183866,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
9,"Putus Atau Terus",Judika,181736,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
10,"Mungkin Hari Ini Esok Atau Nanti",Anneth,156911,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
11,Yours,Raiden,152468,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
12,Snowman,Sia,149058,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
13,happy,Skinnyfabs,148916,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,"Leave The Door Open","Bruno Mars",140699,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
15,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",137344,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
16,Heather,"Conan Gray",128459,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
17,Kota,Dere,122481,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
18,"Katakan Saja",Khifnu,121218,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
19,"Hurts So Good","Astrid S",119455,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
20,"Hold On","Justin Bieber",112431,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
21,"Makna Cinta","Rizky Febian",112084,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
22,Dynamite,BTS,110340,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
23,Cuek,"Rizky Febian",108949,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
24,34+35,"Ariana Grande",108248,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
25,"Rumah Ke Rumah",Hindia,107919,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
26,"Maafkan Aku #terlanjurmencinta","Tiara Andini",105592,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
27,"Into Your Arms (feat. Ava Max)","Witt Lowry",104809,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
28,Lantas,"Juicy Luicy",103312,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
29,positions,"Ariana Grande",102433,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
30,"I'm Missing You",Sunjae,100423,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
31,"Bahasa Kalbu",Raisa,98343,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
32,"One Only",Pamungkas,96834,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
33,"Before You Go","Lewis Capaldi",96161,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
34,"Life Goes On",BTS,94454,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
35,Lose,NIKI,94419,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
36,Monolog,Pamungkas,93161,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
37,"Kenangan Manis",Pamungkas,92848,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
38,C.H.R.I.S.Y.E.,Diskoria,92724,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
