,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,682821,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,295864,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,291933,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",264186,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"On The Ground",ROSÉ,257008,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
6,"At My Worst","Pink Sweat$",222357,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,Gone,ROSÉ,208964,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
8,"Melukis Senja","Budi Doremi",202933,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Leave The Door Open","Bruno Mars",196083,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"Putus Atau Terus",Judika,176819,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
11,"drivers license","Olivia Rodrigo",175784,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,happy,Skinnyfabs,161368,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,Weak,"Larissa Lambert",158023,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
14,"One Only",Pamungkas,157115,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
15,Yours,Raiden,157080,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
16,"Mungkin Hari Ini Esok Atau Nanti",Anneth,146684,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
17,"Hold On","Justin Bieber",141281,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
18,"Kenangan Manis",Pamungkas,141156,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
19,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",138509,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
20,Monolog,Pamungkas,128318,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
21,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",128210,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
22,Snowman,Sia,126815,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
23,Heather,"Conan Gray",126050,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
24,Kota,Dere,119528,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
25,"I Love You but I'm Letting Go",Pamungkas,119122,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
26,Lantas,"Juicy Luicy",111162,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
27,"Katakan Saja",Khifnu,108153,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
28,Celebrity,IU,106215,https://open.spotify.com/track/4RewTiGEGoO7FWNZUmp1f4
29,"Rumah Ke Rumah",Hindia,105619,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
30,"Makna Cinta","Rizky Febian",104600,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
31,Lose,NIKI,101418,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
32,"Maafkan Aku #terlanjurmencinta","Tiara Andini",100561,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
33,"Bahasa Kalbu",Raisa,96351,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
34,34+35,"Ariana Grande",96327,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
35,"I'm Missing You",Sunjae,95839,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
36,C.H.R.I.S.Y.E.,Diskoria,94834,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
37,"Before You Go","Lewis Capaldi",94212,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
38,positions,"Ariana Grande",94207,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
39,"Hurts So Good","Astrid S",93769,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
40,"Resah Jadi Luka","Daun Jatuh",92388,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
41,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",91111,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
42,"Life Goes On",BTS,90724,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
43,"Stuck with U (with Justin Bieber)","Ariana Grande",90651,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
44,Dynamite,BTS,88576,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
45,"Into Your Arms (feat. Ava Max)","Witt Lowry",85173,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
46,Cuek,"Rizky Febian",83687,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
47,"Kukira Kau Rumah",Amigdala,82312,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
48,"Belum Siap Kehilangan","Stevan Pasaribu",78764,https://open.spotify.com/track/56Uibq6ur2xwUpSd9biBH1
49,"Tanpa Batas Waktu - 8D Version","Ade Govinda",77717,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
50,"Mood (feat. iann dior)",24kGoldn,76929,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
51,"Lonely (with benny blanco)","Justin Bieber",74364,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
52,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",70601,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
53,Secukupnya,Hindia,68023,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
54,Sofia,Clairo,67985,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
55,"I Still Love You",TheOvertunes,66444,https://open.spotify.com/track/4reIsHKw5hUj4pV8zzMjLA
56,"Someone You Loved","Lewis Capaldi",66336,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
