,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heartbreak Anniversary",Giveon,375910,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2,"Blue Jeans",GANGGA,300049,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
3,Bertaut,"Nadin Amizah",279196,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
4,"At My Worst","Pink Sweat$",260929,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
5,"Melukis Senja","Budi Doremi",224963,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
6,"drivers license","Olivia Rodrigo",216452,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
7,Weak,"Larissa Lambert",191637,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
8,"Putus Atau Terus",Judika,188256,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
9,"To the Bone",Pamungkas,187506,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
10,"Mungkin Hari Ini Esok Atau Nanti",Anneth,176622,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
11,Snowman,Sia,169751,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
12,happy,Skinnyfabs,161050,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",151420,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
14,Yours,Raiden,143751,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
15,Heather,"Conan Gray",141754,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
16,"Hurts So Good","Astrid S",130448,https://open.spotify.com/track/46ydq5g3k17iLJs3qMDvO6
17,"Katakan Saja",Khifnu,130083,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
18,"Makna Cinta","Rizky Febian",129860,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
19,34+35,"Ariana Grande",128359,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
20,Kota,Dere,124560,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
21,Dynamite,BTS,118110,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
22,"Into Your Arms (feat. Ava Max)","Witt Lowry",117893,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
23,Cuek,"Rizky Febian",115002,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
24,positions,"Ariana Grande",114023,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
25,"Maafkan Aku #terlanjurmencinta","Tiara Andini",110973,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
26,"Rumah Ke Rumah",Hindia,110175,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
27,"Bahasa Kalbu",Raisa,107472,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
28,"Life Goes On",BTS,107222,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
29,"I'm Missing You",Sunjae,107088,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
30,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",105748,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
31,Lose,NIKI,102864,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
32,"Before You Go","Lewis Capaldi",102603,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
