,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heartbreak Anniversary",Giveon,349601,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2,"Blue Jeans",GANGGA,286767,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
3,Bertaut,"Nadin Amizah",260502,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
4,"At My Worst","Pink Sweat$",243835,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
5,"Melukis Senja","Budi Doremi",211369,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
6,"drivers license","Olivia Rodrigo",201151,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
7,"To the Bone",Pamungkas,199546,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
8,Weak,"Larissa Lambert",190430,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
9,"Putus Atau Terus",Judika,185268,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
10,"Mungkin Hari Ini Esok Atau Nanti",Anneth,160246,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
11,Yours,Raiden,156230,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
12,happy,Skinnyfabs,153555,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,Snowman,Sia,152622,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
14,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",144646,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
15,Heather,"Conan Gray",134009,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
16,"Katakan Saja",Khifnu,123232,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
17,Kota,Dere,123094,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
18,"Hurts So Good","Astrid S",122678,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
19,"Makna Cinta","Rizky Febian",115864,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
20,Dynamite,BTS,115143,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
21,34+35,"Ariana Grande",112889,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
22,Cuek,"Rizky Febian",111993,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
23,"Rumah Ke Rumah",Hindia,109811,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
24,"Maafkan Aku #terlanjurmencinta","Tiara Andini",108564,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
25,"Into Your Arms (feat. Ava Max)","Witt Lowry",108563,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
26,positions,"Ariana Grande",107062,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
27,"I'm Missing You",Sunjae,104917,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
28,"Bahasa Kalbu",Raisa,103603,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
29,Lantas,"Juicy Luicy",103018,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
30,"Life Goes On",BTS,101803,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
31,Lose,NIKI,99548,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
32,"Before You Go","Lewis Capaldi",98487,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
33,"One Only",Pamungkas,97515,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
34,"Stuck with U (with Justin Bieber)","Ariana Grande",96659,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
35,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",96516,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
36,C.H.R.I.S.Y.E.,Diskoria,95951,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
37,"Resah Jadi Luka","Daun Jatuh",94868,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
38,Monolog,Pamungkas,92633,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
39,"Kenangan Manis",Pamungkas,89059,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
40,Copines,"Aya Nakamura",88798,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
41,"Good Days",SZA,87376,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
42,"Tanpa Batas Waktu - 8D Version","Ade Govinda",85014,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
43,"I Love You but I'm Letting Go",Pamungkas,84416,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
44,"Leave The Door Open","Bruno Mars",83399,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
45,"Mood (feat. iann dior)",24kGoldn,83344,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
46,Sofia,Clairo,83013,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
47,"Kukira Kau Rumah",Amigdala,82320,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
48,"Hold On","Justin Bieber",81661,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
49,Secukupnya,Hindia,81354,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
50,"Cinta Dalam Hati",Ungu,77857,https://open.spotify.com/track/4MaEMiH9lXR0NAcsrgJcuO
51,"Pura Pura Lupa",Mahen,75266,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
52,"Lonely (with benny blanco)","Justin Bieber",73394,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
53,"Aku Yang Salah",Mahalini,73091,https://open.spotify.com/track/0OgwkVbQ4jVfsZJO4Xs9hC
54,"Someone You Loved","Lewis Capaldi",69029,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
55,"I Still Love You",TheOvertunes,63582,https://open.spotify.com/track/4reIsHKw5hUj4pV8zzMjLA
56,"Sesuatu Di Jogja","Adhitia Sofyan",63254,https://open.spotify.com/track/0MAIxtXWimwhAAQOST9jp7
57,"Waktu Yang Salah","Fiersa Besari",63209,https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
58,"if u could see me cryin' in my room","Arash Buana",62021,https://open.spotify.com/track/2yynRDKYqTLVTcP7FqoyVE
59,"Somebody That I Used To Know",Gotye,61074,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
60,telepatía,"Kali Uchis",60499,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
61,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",58648,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI
62,"Kau Lagi","Celine & Nadya",57152,https://open.spotify.com/track/6RsvbZ6gFjRSOFonpf55mT
63,bitterlove,"Ardhito Pramono",55199,https://open.spotify.com/track/74OLXYsvpfmSgPCMMi898K
64,lowkey,NIKI,55189,https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi
65,"Why Why Why",iKON,54178,https://open.spotify.com/track/0br4r9VlPdofrWXxPorlYd
66,"Reflection - From ""Mulan""","Yura Yunita",53833,https://open.spotify.com/track/1H5tV0SkvBqxGllQ3HEVSy
67,"you broke me first","Tate McRae",53696,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
68,"La La Lost You - Acoustic Version",NIKI,52476,https://open.spotify.com/track/5WkCcSa78lM1Ym4LXzJUiN
69,"Tanpa Tergesa","Juicy Luicy",52310,https://open.spotify.com/track/3Jby9Ezr1E7wCsXe0Dexa6
70,"Backyard Boy (with Jeremy Zucker)","Claire Rosinkranz",51840,https://open.spotify.com/track/4rE4qF4baoXpustrgtnFRw
71,"Cintanya Aku","Tiara Andini",50790,https://open.spotify.com/track/53fKDMfQhWMSw7QKVDOTBP
72,"Seperti Kisah","Rizky Febian",50618,https://open.spotify.com/track/6nxQa68jVCLlYQsT3fi4G1
73,"Save Your Tears","The Weeknd",50340,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
74,Memories,"Maroon 5",50284,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
75,"Mantra Cinta","Rizky Febian",49694,https://open.spotify.com/track/2ROCaprX5ROfL2GkkbkCWy
76,Closure,Pamungkas,49561,https://open.spotify.com/track/3XJ9dvjhpxh49PyjRdn1Lu
77,"You Got It",Vedo,49454,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
78,"Lovesick Girls",BLACKPINK,49286,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
79,"Adu Rayu","Yovie Widianto",48498,https://open.spotify.com/track/3FcCAFQj4bLpfxo8gj1kk9
80,Psycho,"Red Velvet",48315,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
81,"Garis Terdepan","Fiersa Besari",47756,https://open.spotify.com/track/4JozU4Ud30FGyDYzoUKasI
82,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",47168,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
83,"Tanya Hati",Pasto,46853,https://open.spotify.com/track/5D5wUmhN0uIWnPb6mNOBiN
84,Selaras,"Kunto Aji",45693,https://open.spotify.com/track/61GiPHiUWi2f8mhN2AdBf0
85,"Terlalu Cinta",Rossa,45452,https://open.spotify.com/track/6I9rJKR6WPRir6XoAaaJvH
86,"Night Changes","One Direction",45447,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ
87,"How You Like That",BLACKPINK,45306,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
88,2002,Anne-Marie,45168,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
89,Runaway,AURORA,45026,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
90,"Kamu & Kenangan - Original Soundtrack Habibie & Ainun 3","Maudy Ayunda",44927,https://open.spotify.com/track/6dMXNAMr1dlAAUo53QKfqs
91,"Rindu Dalam Hati","Arsy Widianto",44323,https://open.spotify.com/track/1DhJgI2oAsDeDVSD5TNPCF
92,"I Love You 3000","Stephanie Poetri",44300,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
93,Rehat,"Kunto Aji",44073,https://open.spotify.com/track/7mjO4RbTZIb1SfE8G673Lm
94,"Boy With Luv (feat. Halsey)",BTS,44031,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
95,"Mad at Disney","salem ilese",43598,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
96,Arcade,"Duncan Laurence",43407,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
97,Tolong,"Budi Doremi",43273,https://open.spotify.com/track/5X5Vj8FcxyoLzq9qxAa45U
98,"Celengan Rindu","Fiersa Besari",43081,https://open.spotify.com/track/19JvKc2f3ZNblfBSDMDwUF
99,"Don't Call Me",SHINee,43018,https://open.spotify.com/track/462OPOKW0VMbvW9H7HIb0U
100,"Sweet Scar","Weird Genius",42388,https://open.spotify.com/track/3R0FDwQSXOiO5gaOZFxKZ5
101,"Don't Watch Me Cry","Alex Porat",42354,https://open.spotify.com/track/42i8mO4cQdsUmn5In7jony
102,"What You Know Bout Love","Pop Smoke",42051,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
103,"Luka Yang Kurindu",Mahen,41837,https://open.spotify.com/track/5UgZoWvuycExNhZd6vIF7D
104,"Astronaut In The Ocean","Masked Wolf",41700,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
105,"LATHI (with Sara Fajira)","Weird Genius",41633,https://open.spotify.com/track/06pezDUwqVsUfpBNw6uJir
106,"Ice Cream (with Selena Gomez)",BLACKPINK,41348,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
107,Bahaya,"Arsy Widianto",41157,https://open.spotify.com/track/45FQZlkNDDHg4pzyjiLQkc
108,"Best Part (feat. Daniel Caesar)",H.E.R.,41058,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
109,Adaptasi,Tulus,41031,https://open.spotify.com/track/0Ax3HeFnPVuHBtzc0AQ7zw
110,"Bicara (feat. Monita Tahalea)",TheOvertunes,40755,https://open.spotify.com/track/1Dxb9nWV16f5PthsUsV1XZ
111,"Selamat (Selamat Tinggal)",Virgoun,40721,https://open.spotify.com/track/1mruWrUwAVe2XkksUQiaHK
112,Dan...,"Sheila On 7",40718,https://open.spotify.com/track/1MdjZzEInrmDBXf8zs0nKS
113,Fine,TAEYEON,40686,https://open.spotify.com/track/6CdUgvL597jWmW4w8P5kHs
114,Monokrom,Tulus,40549,https://open.spotify.com/track/4GfK1qOF3uBWidbPlTCQRL
115,"Untuk Perempuan Yang Sedang Di Pelukan","Payung Teduh",40394,https://open.spotify.com/track/0urpBLpcm6DOGzs86rcKd8
116,"Day & Night","Jung Seung Hwan",40328,https://open.spotify.com/track/1j5oDtBWVtNoVHMi2n6Fkz
117,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",40131,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
118,"Sedang Sayang Sayangnya","Mawar de Jongh",39851,https://open.spotify.com/track/10CbwBfusPvPWuzuTLeMdm
119,"Fix You",Coldplay,39702,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q
120,"Say You Won't Let Go","James Arthur",39651,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
121,"Black Mamba",aespa,39505,https://open.spotify.com/track/1t2qYCAjUAoGfeFeoBlK51
122,comethru,"Jeremy Zucker",39401,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
123,"Di Persimpangan Dilema",Terry,39388,https://open.spotify.com/track/5PU8ZFAGNJeWYVBh8w5msX
124,"Hal Indah Butuh Waktu Untuk Datang",Idgitaf,39334,https://open.spotify.com/track/2k9ZZcEQVxoXd2OYr8iiQ8
125,April,"Fiersa Besari",39298,https://open.spotify.com/track/3IesVVqYxCsRCsz5OCmC7q
126,Starlight,"CHA NI (SF9)",39200,https://open.spotify.com/track/7lV0M6ulaapTNZJzx8stw0
127,"Intentions (feat. Quavo)","Justin Bieber",39184,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
128,"10,000 Hours (with Justin Bieber)","Dan + Shay",39183,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
129,"Kala Cinta Menggoda",Noah,38378,https://open.spotify.com/track/4bZzHFP9VFX7HsyPomDwuE
130,"Fly Me to the Moon","The Macarons Project",38160,https://open.spotify.com/track/0YBNpbrmpZdFRT0NFqii5C
131,Rumpang,"Nadin Amizah",38144,https://open.spotify.com/track/2TRGNVokPnC2a2oHg5iv1H
132,"Pretty Savage",BLACKPINK,37602,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
