,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heartbreak Anniversary",Giveon,374437,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2,"Blue Jeans",GANGGA,305116,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
3,Bertaut,"Nadin Amizah",280141,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
4,"At My Worst","Pink Sweat$",262154,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
5,"Melukis Senja","Budi Doremi",224035,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
6,"drivers license","Olivia Rodrigo",212697,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
7,Weak,"Larissa Lambert",192362,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
8,"Putus Atau Terus",Judika,184119,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
9,"Mungkin Hari Ini Esok Atau Nanti",Anneth,175446,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
10,Snowman,Sia,174040,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
11,"To the Bone",Pamungkas,172239,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
12,happy,Skinnyfabs,155740,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",149420,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
14,Yours,Raiden,145060,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
15,Heather,"Conan Gray",141246,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
16,"Hurts So Good","Astrid S",131024,https://open.spotify.com/track/46ydq5g3k17iLJs3qMDvO6
17,34+35,"Ariana Grande",128977,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
18,"Katakan Saja",Khifnu,127978,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
19,"Makna Cinta","Rizky Febian",127847,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
20,Kota,Dere,122614,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
21,Dynamite,BTS,119022,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
22,"Into Your Arms (feat. Ava Max)","Witt Lowry",118087,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
23,positions,"Ariana Grande",113315,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
24,Cuek,"Rizky Febian",113207,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
25,"Life Goes On",BTS,108858,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
26,"Maafkan Aku #terlanjurmencinta","Tiara Andini",108474,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
27,"Rumah Ke Rumah",Hindia,108367,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
28,"I'm Missing You",Sunjae,107427,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
29,"Bahasa Kalbu",Raisa,106266,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
30,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",104530,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
31,Lose,NIKI,102639,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
32,"Before You Go","Lewis Capaldi",101708,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
33,"Stuck with U (with Justin Bieber)","Ariana Grande",99816,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
34,"Resah Jadi Luka","Daun Jatuh",99265,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
35,C.H.R.I.S.Y.E.,Diskoria,97593,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
36,"One Only",Pamungkas,95436,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
37,Copines,"Aya Nakamura",94647,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
38,"Good Days",SZA,94214,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
39,Sofia,Clairo,91307,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
40,Monolog,Pamungkas,91140,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
41,"Kenangan Manis",Pamungkas,88137,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
42,"Tanpa Batas Waktu - 8D Version","Ade Govinda",87503,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
43,"Mood (feat. iann dior)",24kGoldn,85458,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
44,"Kukira Kau Rumah",Amigdala,84921,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
45,"Lonely (with benny blanco)","Justin Bieber",79758,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
