,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,670667,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,287736,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,280934,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",253141,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"On The Ground",ROSÉ,245908,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
6,"At My Worst","Pink Sweat$",213970,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,Gone,ROSÉ,202269,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
8,"Melukis Senja","Budi Doremi",195646,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Leave The Door Open","Bruno Mars",185326,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"Putus Atau Terus",Judika,174029,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
11,"drivers license","Olivia Rodrigo",168418,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,happy,Skinnyfabs,154769,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,Weak,"Larissa Lambert",154253,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
14,"One Only",Pamungkas,151445,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
15,Yours,Raiden,150546,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
16,"Mungkin Hari Ini Esok Atau Nanti",Anneth,138426,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
17,"Kenangan Manis",Pamungkas,137995,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
18,"Hold On","Justin Bieber",135393,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
19,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",132237,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
20,Monolog,Pamungkas,124469,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
21,Snowman,Sia,124330,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
22,Heather,"Conan Gray",118632,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
23,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",117275,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
24,"I Love You but I'm Letting Go",Pamungkas,115749,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
25,Kota,Dere,115038,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
26,Lantas,"Juicy Luicy",106715,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
27,"Katakan Saja",Khifnu,105281,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
28,"Rumah Ke Rumah",Hindia,100422,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
29,"Makna Cinta","Rizky Febian",99903,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
30,Celebrity,IU,97467,https://open.spotify.com/track/4RewTiGEGoO7FWNZUmp1f4
31,Lose,NIKI,94068,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
32,"Maafkan Aku #terlanjurmencinta","Tiara Andini",93641,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
33,"I'm Missing You",Sunjae,92253,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
34,34+35,"Ariana Grande",91819,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
35,"Bahasa Kalbu",Raisa,90508,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
36,C.H.R.I.S.Y.E.,Diskoria,90210,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
37,"Hurts So Good","Astrid S",89424,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
38,"Before You Go","Lewis Capaldi",89146,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
39,positions,"Ariana Grande",88869,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
