,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,456467,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,330597,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,299816,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",265018,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"At My Worst","Pink Sweat$",244402,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
6,"Melukis Senja","Budi Doremi",212707,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
7,"drivers license","Olivia Rodrigo",199969,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
8,Weak,"Larissa Lambert",183616,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
9,"Putus Atau Terus",Judika,179072,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
10,"Leave The Door Open","Bruno Mars",171139,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
11,Yours,Raiden,161394,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
12,"Mungkin Hari Ini Esok Atau Nanti",Anneth,157809,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
13,happy,Skinnyfabs,157654,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",147695,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
15,"Hold On","Justin Bieber",143606,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
16,Snowman,Sia,143160,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
17,"One Only",Pamungkas,133438,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
18,Heather,"Conan Gray",133138,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
19,Kota,Dere,131751,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
