,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,715673,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,307703,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,296161,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,"On The Ground",ROSÉ,284793,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
5,Bertaut,"Nadin Amizah",268114,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
6,"At My Worst","Pink Sweat$",225183,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,Gone,ROSÉ,219436,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
8,"Melukis Senja","Budi Doremi",204123,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Leave The Door Open","Bruno Mars",196819,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"Putus Atau Terus",Judika,180052,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
11,"drivers license","Olivia Rodrigo",177455,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,Weak,"Larissa Lambert",168286,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
13,happy,Skinnyfabs,161727,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,Yours,Raiden,159177,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
15,"One Only",Pamungkas,157586,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
16,"Mungkin Hari Ini Esok Atau Nanti",Anneth,146397,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
17,"Hold On","Justin Bieber",145292,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
18,"Kenangan Manis",Pamungkas,140990,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
19,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",137796,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
