,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,605446,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,286148,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,285271,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",252001,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"On The Ground",ROSÉ,222275,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
6,"At My Worst","Pink Sweat$",214685,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,"Leave The Door Open","Bruno Mars",207917,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Melukis Senja","Budi Doremi",193912,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Putus Atau Terus",Judika,171908,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
10,Gone,ROSÉ,171624,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
11,"drivers license","Olivia Rodrigo",165521,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,happy,Skinnyfabs,159248,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",153421,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
14,Weak,"Larissa Lambert",151770,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
15,"One Only",Pamungkas,142603,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
16,Yours,Raiden,138168,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
17,"Mungkin Hari Ini Esok Atau Nanti",Anneth,135117,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
