,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,598465,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"On The Ground",ROSÉ,333885,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
3,Gone,ROSÉ,331753,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
4,"Heartbreak Anniversary",Giveon,324344,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
5,"Blue Jeans",GANGGA,292390,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
6,Bertaut,"Nadin Amizah",264931,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
7,"At My Worst","Pink Sweat$",238531,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
8,"Melukis Senja","Budi Doremi",208096,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"drivers license","Olivia Rodrigo",192300,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
10,Weak,"Larissa Lambert",187313,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
11,"Leave The Door Open","Bruno Mars",185945,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
12,"Putus Atau Terus",Judika,175950,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
13,happy,Skinnyfabs,160887,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,Yours,Raiden,155178,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
15,"Mungkin Hari Ini Esok Atau Nanti",Anneth,150358,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
16,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",143155,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
17,"One Only",Pamungkas,142931,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
18,"Hold On","Justin Bieber",137751,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
19,Snowman,Sia,134842,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
20,"Kenangan Manis",Pamungkas,129030,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
21,Heather,"Conan Gray",128757,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
22,Kota,Dere,125698,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
