,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,651023,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"On The Ground",ROSÉ,338848,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
3,"Heartbreak Anniversary",Giveon,318102,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
4,Gone,ROSÉ,307549,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
5,"Blue Jeans",GANGGA,287209,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
6,Bertaut,"Nadin Amizah",264084,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
7,"At My Worst","Pink Sweat$",234515,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
8,"Melukis Senja","Budi Doremi",204599,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Leave The Door Open","Bruno Mars",187596,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"drivers license","Olivia Rodrigo",186910,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
11,Weak,"Larissa Lambert",185881,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
12,"Putus Atau Terus",Judika,172790,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
13,happy,Skinnyfabs,155444,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,Yours,Raiden,150299,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
15,"Mungkin Hari Ini Esok Atau Nanti",Anneth,146839,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
16,"One Only",Pamungkas,146686,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
17,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",139443,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
18,Snowman,Sia,135070,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
19,"Hold On","Justin Bieber",134703,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
20,"Kenangan Manis",Pamungkas,129584,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
21,Monolog,Pamungkas,124422,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
22,Heather,"Conan Gray",124178,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
23,Kota,Dere,123371,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
24,"Katakan Saja",Khifnu,115925,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
25,"I Love You but I'm Letting Go",Pamungkas,115255,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
26,Lantas,"Juicy Luicy",108386,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
27,"Makna Cinta","Rizky Febian",105425,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
28,"Hurts So Good","Astrid S",105233,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
29,"Rumah Ke Rumah",Hindia,103149,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
30,Celebrity,IU,102177,https://open.spotify.com/track/4RewTiGEGoO7FWNZUmp1f4
31,34+35,"Ariana Grande",99488,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
32,Cuek,"Rizky Febian",99287,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
33,Dynamite,BTS,99121,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
34,Lose,NIKI,98769,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
35,"I'm Missing You",Sunjae,97298,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
36,"Maafkan Aku #terlanjurmencinta","Tiara Andini",95883,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
37,positions,"Ariana Grande",93862,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
38,"Bahasa Kalbu",Raisa,92688,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
39,"Before You Go","Lewis Capaldi",91476,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
40,"Into Your Arms (feat. Ava Max)","Witt Lowry",91355,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
41,C.H.R.I.S.Y.E.,Diskoria,90718,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
42,"Resah Jadi Luka","Daun Jatuh",89288,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
43,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",88840,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
44,"Stuck with U (with Justin Bieber)","Ariana Grande",86501,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
45,"Life Goes On",BTS,84393,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
46,"Tanpa Batas Waktu - 8D Version","Ade Govinda",78486,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
47,"Kukira Kau Rumah",Amigdala,78414,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
48,Copines,"Aya Nakamura",78340,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
49,"Mood (feat. iann dior)",24kGoldn,77789,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
50,"Good Days",SZA,76740,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
51,Secukupnya,Hindia,74215,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
52,Sofia,Clairo,73388,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
53,telepatía,"Kali Uchis",70816,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
54,"Belum Siap Kehilangan","Stevan Pasaribu",67577,https://open.spotify.com/track/56Uibq6ur2xwUpSd9biBH1
