,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,699813,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,301716,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,290087,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,"On The Ground",ROSÉ,263614,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
5,Bertaut,"Nadin Amizah",261946,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
6,"At My Worst","Pink Sweat$",221270,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,Gone,ROSÉ,213941,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
8,"Melukis Senja","Budi Doremi",204652,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Leave The Door Open","Bruno Mars",193465,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"Putus Atau Terus",Judika,179169,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
11,"drivers license","Olivia Rodrigo",174007,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,Weak,"Larissa Lambert",162861,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
13,happy,Skinnyfabs,158012,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,"One Only",Pamungkas,157002,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
15,Yours,Raiden,153218,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
16,"Mungkin Hari Ini Esok Atau Nanti",Anneth,143329,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
17,"Kenangan Manis",Pamungkas,143132,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
18,"Hold On","Justin Bieber",142520,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
