,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,734596,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"On The Ground",ROSÉ,359439,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
3,"Heartbreak Anniversary",Giveon,330337,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
4,"Blue Jeans",GANGGA,315947,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
5,Gone,ROSÉ,287916,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
6,Bertaut,"Nadin Amizah",274052,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
7,"At My Worst","Pink Sweat$",238273,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
8,"Melukis Senja","Budi Doremi",212089,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Leave The Door Open","Bruno Mars",198504,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"drivers license","Olivia Rodrigo",191261,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
11,Weak,"Larissa Lambert",189759,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
12,"Putus Atau Terus",Judika,182352,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
13,happy,Skinnyfabs,172150,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,"One Only",Pamungkas,162308,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
15,Yours,Raiden,159730,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
16,"Mungkin Hari Ini Esok Atau Nanti",Anneth,154068,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
17,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",149989,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
18,"Kenangan Manis",Pamungkas,144910,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
19,"Hold On","Justin Bieber",143774,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
20,Snowman,Sia,138669,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
21,Heather,"Conan Gray",135922,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
22,Kota,Dere,133946,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
23,Monolog,Pamungkas,133683,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
24,"I Love You but I'm Letting Go",Pamungkas,127389,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
25,Celebrity,IU,124263,https://open.spotify.com/track/4RewTiGEGoO7FWNZUmp1f4
26,"Katakan Saja",Khifnu,122336,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
27,"Makna Cinta","Rizky Febian",117178,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
28,Dynamite,BTS,117052,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
29,Lantas,"Juicy Luicy",116612,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
30,"Rumah Ke Rumah",Hindia,109907,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
31,"I'm Missing You",Sunjae,108802,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
32,"Hurts So Good","Astrid S",107792,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
33,Lose,NIKI,106993,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
34,Cuek,"Rizky Febian",105341,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
35,34+35,"Ariana Grande",104149,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
36,"Maafkan Aku #terlanjurmencinta","Tiara Andini",101176,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
37,"Life Goes On",BTS,101075,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
38,"Bahasa Kalbu",Raisa,99279,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
39,positions,"Ariana Grande",98393,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
40,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",98109,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
41,"Into Your Arms (feat. Ava Max)","Witt Lowry",97308,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
42,C.H.R.I.S.Y.E.,Diskoria,97041,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
43,"Before You Go","Lewis Capaldi",97040,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
44,"Resah Jadi Luka","Daun Jatuh",96271,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
45,"Stuck with U (with Justin Bieber)","Ariana Grande",92637,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
46,Copines,"Aya Nakamura",86383,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
47,"Kukira Kau Rumah",Amigdala,86010,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
