,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,750272,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"On The Ground",ROSÉ,359415,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
3,"Heartbreak Anniversary",Giveon,330192,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
4,"Blue Jeans",GANGGA,324966,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
5,Bertaut,"Nadin Amizah",280110,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
6,Gone,ROSÉ,273185,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
7,"At My Worst","Pink Sweat$",240721,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
8,"Melukis Senja","Budi Doremi",217161,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Leave The Door Open","Bruno Mars",206865,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"drivers license","Olivia Rodrigo",193948,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
11,"Putus Atau Terus",Judika,190246,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
12,Weak,"Larissa Lambert",190240,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
13,happy,Skinnyfabs,173042,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,"One Only",Pamungkas,165809,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
15,Yours,Raiden,159579,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
16,"Mungkin Hari Ini Esok Atau Nanti",Anneth,154614,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
17,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",151265,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
18,"Kenangan Manis",Pamungkas,148742,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
19,"Hold On","Justin Bieber",146941,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
20,Snowman,Sia,139176,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
21,Kota,Dere,136175,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
22,Heather,"Conan Gray",136015,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
23,Monolog,Pamungkas,134869,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
