,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,618740,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,290701,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,280887,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",248768,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"On The Ground",ROSÉ,217206,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
6,"At My Worst","Pink Sweat$",215129,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,"Leave The Door Open","Bruno Mars",199185,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Melukis Senja","Budi Doremi",192776,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Putus Atau Terus",Judika,171385,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
10,Gone,ROSÉ,167776,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
11,"drivers license","Olivia Rodrigo",162288,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,happy,Skinnyfabs,154344,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,Weak,"Larissa Lambert",153073,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
14,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",146028,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
15,"One Only",Pamungkas,144453,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
16,Yours,Raiden,135549,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
17,"Kenangan Manis",Pamungkas,135019,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
18,"Mungkin Hari Ini Esok Atau Nanti",Anneth,132894,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
19,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",127744,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
20,"Hold On","Justin Bieber",121976,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
21,Snowman,Sia,119102,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
22,Heather,"Conan Gray",118442,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
23,Monolog,Pamungkas,117824,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
24,Kota,Dere,109174,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
25,"I Love You but I'm Letting Go",Pamungkas,108345,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
26,Celebrity,IU,108230,https://open.spotify.com/track/5nCwjUUsmBuNZKn9Xu10Os
27,Lantas,"Juicy Luicy",104620,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
28,"Rumah Ke Rumah",Hindia,102415,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
29,"After School",Weeekly,99105,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
30,"Katakan Saja",Khifnu,98706,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
31,"Makna Cinta","Rizky Febian",95684,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
32,C.H.R.I.S.Y.E.,Diskoria,92070,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
33,"Before You Go","Lewis Capaldi",92030,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
34,Lose,NIKI,91690,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
35,34+35,"Ariana Grande",89449,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
36,"Maafkan Aku #terlanjurmencinta","Tiara Andini",89065,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
37,positions,"Ariana Grande",87941,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
38,"Hurts So Good","Astrid S",87653,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
39,"Bahasa Kalbu",Raisa,86064,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
40,"Stuck with U (with Justin Bieber)","Ariana Grande",84869,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
41,"Resah Jadi Luka","Daun Jatuh",83626,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
42,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",82954,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
43,"Life Goes On",BTS,82073,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
44,"Into Your Arms (feat. Ava Max)","Witt Lowry",81469,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
45,"I'm Missing You",Sunjae,81379,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
46,Dynamite,BTS,80710,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
47,LILAC,IU,78593,https://open.spotify.com/track/5xrtzzzikpG3BLbo4q1Yul
48,"Kukira Kau Rumah",Amigdala,78492,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
49,Cuek,"Rizky Febian",77041,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
50,"Belum Siap Kehilangan","Stevan Pasaribu",72073,https://open.spotify.com/track/56Uibq6ur2xwUpSd9biBH1
51,"Mood (feat. iann dior)",24kGoldn,69245,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
52,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",65861,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
53,Secukupnya,Hindia,64713,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
54,"I Still Love You",TheOvertunes,63895,https://open.spotify.com/track/4reIsHKw5hUj4pV8zzMjLA
55,"Tanpa Batas Waktu - 8D Version","Ade Govinda",63234,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
56,"Someone You Loved","Lewis Capaldi",62500,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
57,"if u could see me cryin' in my room","Arash Buana",62084,https://open.spotify.com/track/2yynRDKYqTLVTcP7FqoyVE
