,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,586674,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,284127,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,282010,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",251623,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"On The Ground",ROSÉ,219830,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
6,"At My Worst","Pink Sweat$",214360,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,"Leave The Door Open","Bruno Mars",213097,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Melukis Senja","Budi Doremi",195356,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Putus Atau Terus",Judika,173431,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
10,Gone,ROSÉ,166985,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
11,"drivers license","Olivia Rodrigo",164515,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,happy,Skinnyfabs,159463,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",154245,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
14,Weak,"Larissa Lambert",148933,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
15,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",140830,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
16,"One Only",Pamungkas,140407,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
17,"After School",Weeekly,139302,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
18,Yours,Raiden,137758,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
19,"Mungkin Hari Ini Esok Atau Nanti",Anneth,136855,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
20,"Kenangan Manis",Pamungkas,130286,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
21,Heather,"Conan Gray",123993,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
22,"Hold On","Justin Bieber",121265,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
23,Snowman,Sia,116370,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
24,Monolog,Pamungkas,115712,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
25,Kota,Dere,112219,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
