,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,680927,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"On The Ground",ROSÉ,324480,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
3,"Heartbreak Anniversary",Giveon,305907,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
4,"Blue Jeans",GANGGA,287128,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
5,Gone,ROSÉ,276949,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
6,Bertaut,"Nadin Amizah",259307,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
7,"At My Worst","Pink Sweat$",225584,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
8,"Melukis Senja","Budi Doremi",202551,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Leave The Door Open","Bruno Mars",180953,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"drivers license","Olivia Rodrigo",179872,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
11,Weak,"Larissa Lambert",179161,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
12,"Putus Atau Terus",Judika,169552,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
13,happy,Skinnyfabs,159286,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,"One Only",Pamungkas,149152,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
15,Yours,Raiden,148481,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
16,"Mungkin Hari Ini Esok Atau Nanti",Anneth,145618,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
17,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",137624,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
18,"Kenangan Manis",Pamungkas,134792,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
19,"Hold On","Justin Bieber",131517,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
20,Snowman,Sia,131349,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
21,Monolog,Pamungkas,125719,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
22,Heather,"Conan Gray",123504,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
23,Kota,Dere,123442,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
24,"I Love You but I'm Letting Go",Pamungkas,118880,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
25,"Katakan Saja",Khifnu,115887,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
26,Lantas,"Juicy Luicy",107547,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
27,Celebrity,IU,107035,https://open.spotify.com/track/4RewTiGEGoO7FWNZUmp1f4
28,"Makna Cinta","Rizky Febian",105396,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
29,"Hurts So Good","Astrid S",103829,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
30,"Rumah Ke Rumah",Hindia,103375,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
31,"I'm Missing You",Sunjae,99420,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
32,Lose,NIKI,98151,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
33,Cuek,"Rizky Febian",97876,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
34,Dynamite,BTS,97298,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
35,34+35,"Ariana Grande",96386,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
36,"Maafkan Aku #terlanjurmencinta","Tiara Andini",94847,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
37,"Bahasa Kalbu",Raisa,91960,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
38,positions,"Ariana Grande",90979,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
39,"Into Your Arms (feat. Ava Max)","Witt Lowry",90428,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
40,"Resah Jadi Luka","Daun Jatuh",90080,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
41,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",89648,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
42,"Before You Go","Lewis Capaldi",89015,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
43,C.H.R.I.S.Y.E.,Diskoria,88531,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
44,"Life Goes On",BTS,85230,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
45,"Stuck with U (with Justin Bieber)","Ariana Grande",83168,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
46,"Kukira Kau Rumah",Amigdala,79211,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
47,"Tanpa Batas Waktu - 8D Version","Ade Govinda",77735,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
48,Copines,"Aya Nakamura",77655,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
49,"Mood (feat. iann dior)",24kGoldn,75780,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
50,"Good Days",SZA,72399,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
51,Sofia,Clairo,68960,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
52,"Belum Siap Kehilangan","Stevan Pasaribu",68708,https://open.spotify.com/track/56Uibq6ur2xwUpSd9biBH1
53,Secukupnya,Hindia,68438,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
54,telepatía,"Kali Uchis",67579,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
55,Closure,Pamungkas,66136,https://open.spotify.com/track/3XJ9dvjhpxh49PyjRdn1Lu
56,"if u could see me cryin' in my room","Arash Buana",64094,https://open.spotify.com/track/2yynRDKYqTLVTcP7FqoyVE
57,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",63923,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
58,"Aku Yang Salah",Mahalini,63272,https://open.spotify.com/track/0OgwkVbQ4jVfsZJO4Xs9hC
59,"I Still Love You",TheOvertunes,62855,https://open.spotify.com/track/4reIsHKw5hUj4pV8zzMjLA
60,"Somebody That I Used To Know",Gotye,60815,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
61,"Someone You Loved","Lewis Capaldi",60458,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
62,"Pura Pura Lupa",Mahen,60155,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
63,"Sesuatu Di Jogja","Adhitia Sofyan",59938,https://open.spotify.com/track/0MAIxtXWimwhAAQOST9jp7
64,"Cinta Dalam Hati",Ungu,59331,https://open.spotify.com/track/4MaEMiH9lXR0NAcsrgJcuO
65,"Lonely (with benny blanco)","Justin Bieber",58002,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
66,"Waktu Yang Salah","Fiersa Besari",56582,https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
67,"Reflection - From ""Mulan""","Yura Yunita",55659,https://open.spotify.com/track/1H5tV0SkvBqxGllQ3HEVSy
68,bitterlove,"Ardhito Pramono",54420,https://open.spotify.com/track/74OLXYsvpfmSgPCMMi898K
69,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",53900,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI
