,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heartbreak Anniversary",Giveon,324602,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2,"Blue Jeans",GANGGA,269377,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
3,"To the Bone",Pamungkas,262021,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
4,Bertaut,"Nadin Amizah",246646,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"At My Worst","Pink Sweat$",231590,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
6,"Melukis Senja","Budi Doremi",197712,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
7,"drivers license","Olivia Rodrigo",185630,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
8,"Putus Atau Terus",Judika,174731,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
9,Weak,"Larissa Lambert",174607,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
10,"Mungkin Hari Ini Esok Atau Nanti",Anneth,149760,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
11,"Leave The Door Open","Bruno Mars",148444,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
12,Yours,Raiden,146007,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
13,happy,Skinnyfabs,144854,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,Snowman,Sia,139938,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
15,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",133604,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
16,Heather,"Conan Gray",126297,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
17,Kota,Dere,119776,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
18,"Hold On","Justin Bieber",119425,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
19,"Katakan Saja",Khifnu,117111,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
20,"Hurts So Good","Astrid S",114826,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
21,"Makna Cinta","Rizky Febian",108541,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
22,"One Only",Pamungkas,104421,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
23,"Rumah Ke Rumah",Hindia,104367,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
24,Dynamite,BTS,103942,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
25,Cuek,"Rizky Febian",102616,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
26,34+35,"Ariana Grande",102433,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
27,"Maafkan Aku #terlanjurmencinta","Tiara Andini",100394,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
28,Lantas,"Juicy Luicy",100154,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
29,"Into Your Arms (feat. Ava Max)","Witt Lowry",98065,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
30,positions,"Ariana Grande",97291,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
31,Monolog,Pamungkas,96659,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
32,"Kenangan Manis",Pamungkas,95438,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
33,"Bahasa Kalbu",Raisa,94924,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
34,"I'm Missing You",Sunjae,94817,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
35,Lose,NIKI,92418,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
36,"Before You Go","Lewis Capaldi",90977,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
37,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",89706,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
38,"Life Goes On",BTS,89453,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
39,"Resah Jadi Luka","Daun Jatuh",89361,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
40,"Stuck with U (with Justin Bieber)","Ariana Grande",89331,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
41,C.H.R.I.S.Y.E.,Diskoria,88819,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
42,"I Love You but I'm Letting Go",Pamungkas,88541,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
43,"Good Days",SZA,80415,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
44,"Tanpa Batas Waktu - 8D Version","Ade Govinda",80404,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
45,Copines,"Aya Nakamura",79307,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
46,"Kukira Kau Rumah",Amigdala,78940,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
