,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,490337,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,323065,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,289770,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",257258,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"At My Worst","Pink Sweat$",238319,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
6,"Melukis Senja","Budi Doremi",208577,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
7,"drivers license","Olivia Rodrigo",190066,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
8,Weak,"Larissa Lambert",179928,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
9,"Putus Atau Terus",Judika,175050,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
10,"Leave The Door Open","Bruno Mars",164844,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
11,Yours,Raiden,155822,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
12,happy,Skinnyfabs,154178,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,"Mungkin Hari Ini Esok Atau Nanti",Anneth,150036,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
14,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",141957,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
15,"Hold On","Justin Bieber",139557,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
16,Snowman,Sia,136652,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
17,"One Only",Pamungkas,133502,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
18,Kota,Dere,128264,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
19,Heather,"Conan Gray",128071,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
20,"Kenangan Manis",Pamungkas,122171,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
21,"Katakan Saja",Khifnu,119269,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
22,Monolog,Pamungkas,116786,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
23,"Hurts So Good","Astrid S",111588,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
24,Lantas,"Juicy Luicy",110229,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
25,"Makna Cinta","Rizky Febian",107572,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
26,Dynamite,BTS,106701,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
27,"I Love You but I'm Letting Go",Pamungkas,106505,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
28,"Rumah Ke Rumah",Hindia,104162,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
29,34+35,"Ariana Grande",102586,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
30,Cuek,"Rizky Febian",101760,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
31,"Maafkan Aku #terlanjurmencinta","Tiara Andini",100325,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
32,Lose,NIKI,100166,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
33,positions,"Ariana Grande",98370,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
34,"Into Your Arms (feat. Ava Max)","Witt Lowry",95864,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
35,"Bahasa Kalbu",Raisa,95077,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
36,"Before You Go","Lewis Capaldi",93986,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
37,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",93023,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
38,C.H.R.I.S.Y.E.,Diskoria,91886,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
39,"Resah Jadi Luka","Daun Jatuh",91259,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
40,"I'm Missing You",Sunjae,90986,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
41,"Stuck with U (with Justin Bieber)","Ariana Grande",90041,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
42,"Life Goes On",BTS,88284,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
43,"Kukira Kau Rumah",Amigdala,81713,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
44,"Tanpa Batas Waktu - 8D Version","Ade Govinda",80799,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
45,"Mood (feat. iann dior)",24kGoldn,78860,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
46,"Good Days",SZA,78351,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
47,"Cinta Dalam Hati",Ungu,78166,https://open.spotify.com/track/4MaEMiH9lXR0NAcsrgJcuO
48,Copines,"Aya Nakamura",78020,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
49,Sofia,Clairo,77561,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
50,Secukupnya,Hindia,77284,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
51,telepatía,"Kali Uchis",74332,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
52,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",67842,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
53,"Aku Yang Salah",Mahalini,64684,https://open.spotify.com/track/0OgwkVbQ4jVfsZJO4Xs9hC
54,"Someone You Loved","Lewis Capaldi",63996,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
55,"if u could see me cryin' in my room","Arash Buana",63063,https://open.spotify.com/track/2yynRDKYqTLVTcP7FqoyVE
56,"I Still Love You",TheOvertunes,62871,https://open.spotify.com/track/4reIsHKw5hUj4pV8zzMjLA
57,"Sesuatu Di Jogja","Adhitia Sofyan",62187,https://open.spotify.com/track/0MAIxtXWimwhAAQOST9jp7
58,"Pura Pura Lupa",Mahen,61773,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
59,"Lonely (with benny blanco)","Justin Bieber",61014,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
60,Closure,Pamungkas,59493,https://open.spotify.com/track/3XJ9dvjhpxh49PyjRdn1Lu
61,"Waktu Yang Salah","Fiersa Besari",58234,https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
62,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",55767,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI
63,"Somebody That I Used To Know",Gotye,55130,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
64,bitterlove,"Ardhito Pramono",54855,https://open.spotify.com/track/74OLXYsvpfmSgPCMMi898K
65,lowkey,NIKI,54116,https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi
66,"you broke me first","Tate McRae",54044,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
67,"La La Lost You - Acoustic Version",NIKI,52673,https://open.spotify.com/track/5WkCcSa78lM1Ym4LXzJUiN
68,"Kau Lagi","Celine & Nadya",52531,https://open.spotify.com/track/6RsvbZ6gFjRSOFonpf55mT
69,"Reflection - From ""Mulan""","Yura Yunita",51110,https://open.spotify.com/track/1H5tV0SkvBqxGllQ3HEVSy
70,"Ku Dengannya Kau Dengan Dia",Afgan,50673,https://open.spotify.com/track/1dB3siDxgzX7i1So4igd3x
71,"Night Changes","One Direction",48624,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ
72,Memories,"Maroon 5",48225,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
73,"Seperti Kisah","Rizky Febian",48152,https://open.spotify.com/track/6nxQa68jVCLlYQsT3fi4G1
74,"Backyard Boy (with Jeremy Zucker)","Claire Rosinkranz",47641,https://open.spotify.com/track/4rE4qF4baoXpustrgtnFRw
75,Sorry,Pamungkas,47451,https://open.spotify.com/track/4gW0fnArZ93uAElSkuw0PG
76,"Mantra Cinta","Rizky Febian",47072,https://open.spotify.com/track/2ROCaprX5ROfL2GkkbkCWy
77,"You Got It",Vedo,45980,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
78,"Astronaut In The Ocean","Masked Wolf",45725,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
79,"Lovesick Girls",BLACKPINK,45316,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
80,"Garis Terdepan","Fiersa Besari",45184,https://open.spotify.com/track/4JozU4Ud30FGyDYzoUKasI
81,"Tanpa Tergesa","Juicy Luicy",45124,https://open.spotify.com/track/3Jby9Ezr1E7wCsXe0Dexa6
82,Arcade,"Duncan Laurence",45009,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
83,"Save Your Tears","The Weeknd",44469,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
84,"Cintanya Aku","Tiara Andini",44036,https://open.spotify.com/track/53fKDMfQhWMSw7QKVDOTBP
