,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,604777,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,289118,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,288361,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",256226,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"On The Ground",ROSÉ,226641,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
6,"At My Worst","Pink Sweat$",216918,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,"Leave The Door Open","Bruno Mars",212709,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Melukis Senja","Budi Doremi",196330,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Putus Atau Terus",Judika,175960,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
10,Gone,ROSÉ,172560,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
11,"drivers license","Olivia Rodrigo",166485,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,happy,Skinnyfabs,162781,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",156407,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
14,Weak,"Larissa Lambert",152317,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
15,"One Only",Pamungkas,141978,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
16,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",140789,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
17,Yours,Raiden,139792,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
18,"Mungkin Hari Ini Esok Atau Nanti",Anneth,137444,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
19,"Kenangan Manis",Pamungkas,133775,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
20,"After School",Weeekly,131048,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
21,Heather,"Conan Gray",124231,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
22,"Hold On","Justin Bieber",124087,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
23,Monolog,Pamungkas,117425,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
24,Snowman,Sia,117091,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
25,Kota,Dere,114199,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
26,"I Love You but I'm Letting Go",Pamungkas,109695,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
27,Lantas,"Juicy Luicy",109514,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
28,Celebrity,IU,106107,https://open.spotify.com/track/5nCwjUUsmBuNZKn9Xu10Os
29,"Rumah Ke Rumah",Hindia,103332,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
30,C.H.R.I.S.Y.E.,Diskoria,100502,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
31,"Makna Cinta","Rizky Febian",100120,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
32,Lose,NIKI,96249,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
33,"Before You Go","Lewis Capaldi",95804,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
34,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",94212,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
35,"Katakan Saja",Khifnu,94054,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
36,"Maafkan Aku #terlanjurmencinta","Tiara Andini",93458,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
37,"Hurts So Good","Astrid S",91897,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
38,positions,"Ariana Grande",91691,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
39,34+35,"Ariana Grande",91525,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
40,"Bahasa Kalbu",Raisa,91459,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
41,LILAC,IU,89889,https://open.spotify.com/track/5xrtzzzikpG3BLbo4q1Yul
42,"Life Goes On",BTS,89732,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
43,"Stuck with U (with Justin Bieber)","Ariana Grande",89030,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
44,"Resah Jadi Luka","Daun Jatuh",87452,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
45,Dynamite,BTS,85755,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
46,"Kukira Kau Rumah",Amigdala,83737,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
47,"I'm Missing You",Sunjae,82752,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
48,"Into Your Arms (feat. Ava Max)","Witt Lowry",80839,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
49,Cuek,"Rizky Febian",79592,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
50,"if u could see me cryin' in my room","Arash Buana",75461,https://open.spotify.com/track/2yynRDKYqTLVTcP7FqoyVE
51,"Belum Siap Kehilangan","Stevan Pasaribu",73224,https://open.spotify.com/track/56Uibq6ur2xwUpSd9biBH1
52,"I Still Love You",TheOvertunes,68876,https://open.spotify.com/track/4reIsHKw5hUj4pV8zzMjLA
53,Secukupnya,Hindia,68435,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
54,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",68124,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
55,"Someone You Loved","Lewis Capaldi",66505,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
56,"Sesuatu Di Jogja","Adhitia Sofyan",65913,https://open.spotify.com/track/0MAIxtXWimwhAAQOST9jp7
57,Sofia,Clairo,65503,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
58,"Pura Pura Lupa",Mahen,65363,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
59,"Tanpa Batas Waktu - 8D Version","Ade Govinda",64501,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
