,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,631548,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,292938,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,278610,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",249822,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"On The Ground",ROSÉ,236853,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
6,"At My Worst","Pink Sweat$",218344,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,"Leave The Door Open","Bruno Mars",199249,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Melukis Senja","Budi Doremi",194707,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,Gone,ROSÉ,181739,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
10,"Putus Atau Terus",Judika,171563,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
11,"drivers license","Olivia Rodrigo",167831,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,happy,Skinnyfabs,158791,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,Weak,"Larissa Lambert",153155,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
14,"One Only",Pamungkas,147038,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
15,Yours,Raiden,145400,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
16,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",142065,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
17,"Kenangan Manis",Pamungkas,136043,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
18,"Mungkin Hari Ini Esok Atau Nanti",Anneth,133644,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
19,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",131581,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
20,"Hold On","Justin Bieber",125619,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
21,Heather,"Conan Gray",122600,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
22,Snowman,Sia,121300,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
23,Monolog,Pamungkas,119069,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
24,Celebrity,IU,118687,https://open.spotify.com/track/5nCwjUUsmBuNZKn9Xu10Os
25,Kota,Dere,112792,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
26,"I Love You but I'm Letting Go",Pamungkas,110368,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
27,Lantas,"Juicy Luicy",108710,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
28,"Rumah Ke Rumah",Hindia,102216,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
29,"Katakan Saja",Khifnu,100732,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
30,"Makna Cinta","Rizky Febian",96034,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
31,Lose,NIKI,95225,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
32,"Maafkan Aku #terlanjurmencinta","Tiara Andini",95213,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
33,C.H.R.I.S.Y.E.,Diskoria,94364,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
34,"Before You Go","Lewis Capaldi",94299,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
