,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,578152,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,271265,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,264632,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",235291,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"On The Ground",ROSÉ,202603,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
6,"At My Worst","Pink Sweat$",201485,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,"Leave The Door Open","Bruno Mars",188524,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Melukis Senja","Budi Doremi",181480,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Putus Atau Terus",Judika,161854,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
10,Gone,ROSÉ,154638,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
11,"drivers license","Olivia Rodrigo",152456,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,happy,Skinnyfabs,146583,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,Weak,"Larissa Lambert",143197,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
14,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",138762,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
15,"One Only",Pamungkas,135126,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
16,Yours,Raiden,127185,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
17,"Kenangan Manis",Pamungkas,125779,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
18,"Mungkin Hari Ini Esok Atau Nanti",Anneth,125469,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
19,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",121754,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
20,"Hold On","Justin Bieber",114165,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
21,Heather,"Conan Gray",112695,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
22,Monolog,Pamungkas,111464,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
23,Snowman,Sia,110678,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
24,Kota,Dere,104571,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
25,Celebrity,IU,102956,https://open.spotify.com/track/5nCwjUUsmBuNZKn9Xu10Os
26,"I Love You but I'm Letting Go",Pamungkas,102827,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
27,"After School",Weeekly,100248,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
28,Lantas,"Juicy Luicy",99630,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
29,"Rumah Ke Rumah",Hindia,97322,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
30,"Katakan Saja",Khifnu,92812,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
31,"Makna Cinta","Rizky Febian",91580,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
32,C.H.R.I.S.Y.E.,Diskoria,88039,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
33,Lose,NIKI,86314,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
34,"Before You Go","Lewis Capaldi",85308,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
35,"Maafkan Aku #terlanjurmencinta","Tiara Andini",83758,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
36,"Hurts So Good","Astrid S",83374,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
37,34+35,"Ariana Grande",83178,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
38,positions,"Ariana Grande",82338,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
39,"Bahasa Kalbu",Raisa,81249,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
40,LILAC,IU,80725,https://open.spotify.com/track/5xrtzzzikpG3BLbo4q1Yul
41,"Stuck with U (with Justin Bieber)","Ariana Grande",80215,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
42,"Resah Jadi Luka","Daun Jatuh",80006,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
43,"Life Goes On",BTS,78296,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
44,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",78260,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
45,Dynamite,BTS,76703,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
46,"I'm Missing You",Sunjae,75053,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
47,"Into Your Arms (feat. Ava Max)","Witt Lowry",74346,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
48,"Kukira Kau Rumah",Amigdala,74208,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
49,Cuek,"Rizky Febian",73180,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
50,"Belum Siap Kehilangan","Stevan Pasaribu",67447,https://open.spotify.com/track/56Uibq6ur2xwUpSd9biBH1
51,Secukupnya,Hindia,62219,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
52,"I Still Love You",TheOvertunes,60210,https://open.spotify.com/track/4reIsHKw5hUj4pV8zzMjLA
53,"Tanpa Batas Waktu - 8D Version","Ade Govinda",59966,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
54,"Mood (feat. iann dior)",24kGoldn,59750,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
55,"if u could see me cryin' in my room","Arash Buana",59719,https://open.spotify.com/track/2yynRDKYqTLVTcP7FqoyVE
56,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",59613,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
57,"Pura Pura Lupa",Mahen,59056,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
58,Sofia,Clairo,58750,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
59,"Sesuatu Di Jogja","Adhitia Sofyan",58496,https://open.spotify.com/track/0MAIxtXWimwhAAQOST9jp7
60,"Someone You Loved","Lewis Capaldi",58420,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
61,"Waktu Yang Salah","Fiersa Besari",55981,https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
62,"Akhir Tak Bahagia",Misellia,55836,https://open.spotify.com/track/0BYoWATcndOBcsCfKdTKRx
63,"Cinta Dalam Hati",Ungu,55784,https://open.spotify.com/track/4MaEMiH9lXR0NAcsrgJcuO
64,Closure,Pamungkas,55757,https://open.spotify.com/track/3XJ9dvjhpxh49PyjRdn1Lu
65,"Astronaut In The Ocean","Masked Wolf",55370,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
66,telepatía,"Kali Uchis",54458,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
67,"Aku Yang Salah",Mahalini,53805,https://open.spotify.com/track/0OgwkVbQ4jVfsZJO4Xs9hC
68,Copines,"Aya Nakamura",52640,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
69,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",51508,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI
70,bitterlove,"Ardhito Pramono",51133,https://open.spotify.com/track/74OLXYsvpfmSgPCMMi898K
71,"Good Days",SZA,50847,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
72,"Tanpa Tergesa","Juicy Luicy",48497,https://open.spotify.com/track/3Jby9Ezr1E7wCsXe0Dexa6
73,Arcade,"Duncan Laurence",47660,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
74,lowkey,NIKI,47045,https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi
75,"La La Lost You - Acoustic Version",NIKI,46496,https://open.spotify.com/track/5WkCcSa78lM1Ym4LXzJUiN
76,Sorry,Pamungkas,45603,https://open.spotify.com/track/4gW0fnArZ93uAElSkuw0PG
77,"Sweet Scar","Weird Genius",44073,https://open.spotify.com/track/3R0FDwQSXOiO5gaOZFxKZ5
78,"Night Changes","One Direction",43922,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ
79,"Terlalu Cinta",Rossa,43549,https://open.spotify.com/track/6I9rJKR6WPRir6XoAaaJvH
80,Memories,"Maroon 5",43484,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
81,"Garis Terdepan","Fiersa Besari",43310,https://open.spotify.com/track/4JozU4Ud30FGyDYzoUKasI
82,"Reflection - From ""Mulan""","Yura Yunita",42936,https://open.spotify.com/track/1H5tV0SkvBqxGllQ3HEVSy
83,"I Love You 3000","Stephanie Poetri",42620,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
84,"Seperti Kisah","Rizky Febian",42549,https://open.spotify.com/track/6nxQa68jVCLlYQsT3fi4G1
85,Runaway,AURORA,42331,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
86,"Ku Dengannya Kau Dengan Dia",Afgan,42276,https://open.spotify.com/track/1dB3siDxgzX7i1So4igd3x
87,Rehat,"Kunto Aji",41960,https://open.spotify.com/track/7mjO4RbTZIb1SfE8G673Lm
88,"you broke me first","Tate McRae",41932,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
89,"Somebody That I Used To Know",Gotye,41632,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
90,"Kau Lagi","Celine & Nadya",41527,https://open.spotify.com/track/6RsvbZ6gFjRSOFonpf55mT
91,"As I Am (feat. Khalid)","Justin Bieber",41513,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J
92,"Adu Rayu","Yovie Widianto",40972,https://open.spotify.com/track/3FcCAFQj4bLpfxo8gj1kk9
93,"Lonely (with benny blanco)","Justin Bieber",40319,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
