,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"I Still Love You",TheOvertunes,69739,https://open.spotify.com/track/4reIsHKw5hUj4pV8zzMjLA
58,Closure,Pamungkas,68536,https://open.spotify.com/track/3XJ9dvjhpxh49PyjRdn1Lu
59,"Lonely (with benny blanco)","Justin Bieber",68175,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
60,"Pura Pura Lupa",Mahen,66855,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
61,"Someone You Loved","Lewis Capaldi",66803,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
62,"Aku Yang Salah",Mahalini,66000,https://open.spotify.com/track/0OgwkVbQ4jVfsZJO4Xs9hC
63,"Sesuatu Di Jogja","Adhitia Sofyan",65228,https://open.spotify.com/track/0MAIxtXWimwhAAQOST9jp7
64,"Somebody That I Used To Know",Gotye,64201,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
65,"Cinta Dalam Hati",Ungu,63959,https://open.spotify.com/track/4MaEMiH9lXR0NAcsrgJcuO
66,"Waktu Yang Salah","Fiersa Besari",63756,https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
67,"Astronaut In The Ocean","Masked Wolf",62499,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
68,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",62392,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI
69,bitterlove,"Ardhito Pramono",58840,https://open.spotify.com/track/74OLXYsvpfmSgPCMMi898K
70,lowkey,NIKI,58117,https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi
71,Sorry,Pamungkas,57389,https://open.spotify.com/track/4gW0fnArZ93uAElSkuw0PG
72,"Seperti Kisah","Rizky Febian",56300,https://open.spotify.com/track/6nxQa68jVCLlYQsT3fi4G1
73,"La La Lost You - Acoustic Version",NIKI,55981,https://open.spotify.com/track/5WkCcSa78lM1Ym4LXzJUiN
74,"Reflection - From ""Mulan""","Yura Yunita",55156,https://open.spotify.com/track/1H5tV0SkvBqxGllQ3HEVSy
75,"Night Changes","One Direction",54592,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ
76,"Tanpa Tergesa","Juicy Luicy",53127,https://open.spotify.com/track/3Jby9Ezr1E7wCsXe0Dexa6
77,"Kau Lagi","Celine & Nadya",52671,https://open.spotify.com/track/6RsvbZ6gFjRSOFonpf55mT
78,"Ku Dengannya Kau Dengan Dia",Afgan,51680,https://open.spotify.com/track/1dB3siDxgzX7i1So4igd3x
79,"Backyard Boy (with Jeremy Zucker)","Claire Rosinkranz",51599,https://open.spotify.com/track/4rE4qF4baoXpustrgtnFRw
80,"you broke me first","Tate McRae",51312,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
81,"Sweet Scar","Weird Genius",50407,https://open.spotify.com/track/3R0FDwQSXOiO5gaOZFxKZ5
82,Memories,"Maroon 5",50162,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
83,Arcade,"Duncan Laurence",49898,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
84,"Lovesick Girls",BLACKPINK,49862,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
85,"You Got It",Vedo,48478,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
86,"Mantra Cinta","Rizky Febian",48290,https://open.spotify.com/track/2ROCaprX5ROfL2GkkbkCWy
87,Runaway,AURORA,48230,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
88,"I Love You 3000","Stephanie Poetri",48112,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
89,"Terlalu Cinta",Rossa,48049,https://open.spotify.com/track/6I9rJKR6WPRir6XoAaaJvH
90,"Garis Terdepan","Fiersa Besari",47683,https://open.spotify.com/track/4JozU4Ud30FGyDYzoUKasI
91,"Don't Watch Me Cry","Alex Porat",46821,https://open.spotify.com/track/42i8mO4cQdsUmn5In7jony
92,"Adu Rayu","Yovie Widianto",46640,https://open.spotify.com/track/3FcCAFQj4bLpfxo8gj1kk9
93,Rehat,"Kunto Aji",46575,https://open.spotify.com/track/7mjO4RbTZIb1SfE8G673Lm
94,2002,Anne-Marie,46548,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
95,"Tanya Hati",Pasto,45992,https://open.spotify.com/track/5D5wUmhN0uIWnPb6mNOBiN
96,"Save Your Tears","The Weeknd",45915,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
