,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heartbreak Anniversary",Giveon,340003,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2,"To the Bone",Pamungkas,338937,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
3,"Blue Jeans",GANGGA,288932,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",270511,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"At My Worst","Pink Sweat$",246607,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
6,"Melukis Senja","Budi Doremi",208695,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
7,"drivers license","Olivia Rodrigo",201970,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
8,Weak,"Larissa Lambert",185307,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
9,"Putus Atau Terus",Judika,182163,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
10,"Leave The Door Open","Bruno Mars",172088,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
11,"Mungkin Hari Ini Esok Atau Nanti",Anneth,159689,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
12,Yours,Raiden,157540,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
13,happy,Skinnyfabs,157000,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,Snowman,Sia,144997,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
15,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",142597,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
16,"Hold On","Justin Bieber",135909,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
17,Heather,"Conan Gray",135105,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
18,Kota,Dere,129873,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
19,"Katakan Saja",Khifnu,122298,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
20,"One Only",Pamungkas,121757,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
21,"Hurts So Good","Astrid S",120564,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
22,"Makna Cinta","Rizky Febian",113989,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
23,Dynamite,BTS,113239,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
24,"Rumah Ke Rumah",Hindia,110730,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
25,34+35,"Ariana Grande",109866,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
26,Lantas,"Juicy Luicy",109736,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
27,Cuek,"Rizky Febian",109524,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
28,Monolog,Pamungkas,108399,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
29,"Kenangan Manis",Pamungkas,107718,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
30,"Maafkan Aku #terlanjurmencinta","Tiara Andini",106631,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
31,positions,"Ariana Grande",104310,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
32,"Into Your Arms (feat. Ava Max)","Witt Lowry",102808,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
33,"I'm Missing You",Sunjae,100887,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
34,Lose,NIKI,100629,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
35,"Bahasa Kalbu",Raisa,100431,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
36,"I Love You but I'm Letting Go",Pamungkas,99638,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
37,"Life Goes On",BTS,98442,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
38,"Before You Go","Lewis Capaldi",97940,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
39,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",96594,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
40,C.H.R.I.S.Y.E.,Diskoria,95864,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
41,"Stuck with U (with Justin Bieber)","Ariana Grande",95323,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
42,"Resah Jadi Luka","Daun Jatuh",94162,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
43,"Good Days",SZA,88111,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
44,"Kukira Kau Rumah",Amigdala,84622,https://open.spotify.com/track/1xdp8tXLTGbPeUSEODP9N7
45,"Tanpa Batas Waktu - 8D Version","Ade Govinda",84245,https://open.spotify.com/track/55GHdnqOdONST4g3dp744w
46,Sofia,Clairo,83561,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
47,"Mood (feat. iann dior)",24kGoldn,82910,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
48,Copines,"Aya Nakamura",82864,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
49,Secukupnya,Hindia,82421,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
50,"Cinta Dalam Hati",Ungu,74871,https://open.spotify.com/track/4MaEMiH9lXR0NAcsrgJcuO
51,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",70607,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
52,telepatía,"Kali Uchis",68700,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
53,"Aku Yang Salah",Mahalini,67394,https://open.spotify.com/track/0OgwkVbQ4jVfsZJO4Xs9hC
54,"Pura Pura Lupa",Mahen,67331,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
55,"Someone You Loved","Lewis Capaldi",66354,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
56,"Lonely (with benny blanco)","Justin Bieber",66292,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
57,"Sesuatu Di Jogja","Adhitia Sofyan",64976,https://open.spotify.com/track/0MAIxtXWimwhAAQOST9jp7
58,"I Still Love You",TheOvertunes,64539,https://open.spotify.com/track/4reIsHKw5hUj4pV8zzMjLA
59,"Waktu Yang Salah","Fiersa Besari",63546,https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
60,"if u could see me cryin' in my room","Arash Buana",62585,https://open.spotify.com/track/2yynRDKYqTLVTcP7FqoyVE
61,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",59714,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI
62,Closure,Pamungkas,58393,https://open.spotify.com/track/3XJ9dvjhpxh49PyjRdn1Lu
63,"Somebody That I Used To Know",Gotye,57597,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
64,bitterlove,"Ardhito Pramono",56820,https://open.spotify.com/track/74OLXYsvpfmSgPCMMi898K
65,"Kau Lagi","Celine & Nadya",56631,https://open.spotify.com/track/6RsvbZ6gFjRSOFonpf55mT
66,lowkey,NIKI,56359,https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi
67,"Reflection - From ""Mulan""","Yura Yunita",54790,https://open.spotify.com/track/1H5tV0SkvBqxGllQ3HEVSy
68,"you broke me first","Tate McRae",54466,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
69,"La La Lost You - Acoustic Version",NIKI,53788,https://open.spotify.com/track/5WkCcSa78lM1Ym4LXzJUiN
70,"Backyard Boy (with Jeremy Zucker)","Claire Rosinkranz",51304,https://open.spotify.com/track/4rE4qF4baoXpustrgtnFRw
71,"Seperti Kisah","Rizky Febian",50241,https://open.spotify.com/track/6nxQa68jVCLlYQsT3fi4G1
