,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,729481,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,316111,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,312322,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,"On The Ground",ROSÉ,299194,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
5,Bertaut,"Nadin Amizah",275171,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
6,"At My Worst","Pink Sweat$",233185,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,"Melukis Senja","Budi Doremi",211080,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
8,Gone,ROSÉ,206619,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
9,"Leave The Door Open","Bruno Mars",201636,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"drivers license","Olivia Rodrigo",187877,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
11,"Putus Atau Terus",Judika,186278,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
12,Weak,"Larissa Lambert",181062,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
13,happy,Skinnyfabs,166701,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
14,"One Only",Pamungkas,160871,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
15,Yours,Raiden,153122,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
16,"Mungkin Hari Ini Esok Atau Nanti",Anneth,152424,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
17,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",146809,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
18,"Kenangan Manis",Pamungkas,144736,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
19,"Hold On","Justin Bieber",142798,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
20,Snowman,Sia,134746,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
21,Kota,Dere,134169,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
22,Heather,"Conan Gray",134110,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
23,Monolog,Pamungkas,131439,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
24,"I Love You but I'm Letting Go",Pamungkas,123705,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
25,"Katakan Saja",Khifnu,118201,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
26,Celebrity,IU,117744,https://open.spotify.com/track/4RewTiGEGoO7FWNZUmp1f4
27,Lantas,"Juicy Luicy",117458,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
28,"Makna Cinta","Rizky Febian",110384,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
29,"I'm Missing You",Sunjae,108435,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
30,Dynamite,BTS,107756,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
31,"Rumah Ke Rumah",Hindia,106997,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
32,Cuek,"Rizky Febian",105257,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
33,Lose,NIKI,105050,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
34,34+35,"Ariana Grande",104953,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
35,"Maafkan Aku #terlanjurmencinta","Tiara Andini",102998,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
36,"Bahasa Kalbu",Raisa,102140,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
37,"Hurts So Good","Astrid S",101506,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
38,positions,"Ariana Grande",99825,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
39,"Before You Go","Lewis Capaldi",97813,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
40,"Into Your Arms (feat. Ava Max)","Witt Lowry",96954,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
41,C.H.R.I.S.Y.E.,Diskoria,96584,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
42,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",95270,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
43,"Life Goes On",BTS,92958,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
44,"Resah Jadi Luka","Daun Jatuh",92605,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
45,"Stuck with U (with Justin Bieber)","Ariana Grande",92028,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
