,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,647810,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Heartbreak Anniversary",Giveon,294912,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
3,"Blue Jeans",GANGGA,277142,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
4,Bertaut,"Nadin Amizah",253768,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
5,"On The Ground",ROSÉ,253694,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
6,"At My Worst","Pink Sweat$",223382,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,Gone,ROSÉ,196282,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
8,"Melukis Senja","Budi Doremi",195941,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
9,"Leave The Door Open","Bruno Mars",191435,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"Putus Atau Terus",Judika,174323,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
11,"drivers license","Olivia Rodrigo",171646,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,happy,Skinnyfabs,163979,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,Yours,Raiden,160049,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
14,Weak,"Larissa Lambert",152263,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
15,"One Only",Pamungkas,151424,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
16,"Kenangan Manis",Pamungkas,138125,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
17,"Mungkin Hari Ini Esok Atau Nanti",Anneth,137891,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
18,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",136159,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
19,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",129860,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
20,Heather,"Conan Gray",126802,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
21,"Hold On","Justin Bieber",125552,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
22,Snowman,Sia,124525,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
23,Monolog,Pamungkas,122528,https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY
24,Celebrity,IU,118222,https://open.spotify.com/track/4RewTiGEGoO7FWNZUmp1f4
25,Kota,Dere,115628,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
26,"I Love You but I'm Letting Go",Pamungkas,114435,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
27,Lantas,"Juicy Luicy",114284,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
28,"Rumah Ke Rumah",Hindia,104212,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
29,"Katakan Saja",Khifnu,102413,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
30,"Maafkan Aku #terlanjurmencinta","Tiara Andini",102078,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
31,Lose,NIKI,98481,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
32,"Before You Go","Lewis Capaldi",98042,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
33,"Into Your Arms (feat. Ava Max)","Witt Lowry",96154,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
34,"Makna Cinta","Rizky Febian",95976,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
35,positions,"Ariana Grande",95328,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
36,34+35,"Ariana Grande",94978,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
37,C.H.R.I.S.Y.E.,Diskoria,93433,https://open.spotify.com/track/42si4ikg5dh732gPuQ0xHb
38,"Bahasa Kalbu",Raisa,93230,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
39,"I'm Missing You",Sunjae,92008,https://open.spotify.com/track/0w0NpOQOYYClaTI0TFHBMF
40,"Hurts So Good","Astrid S",91493,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
41,"After School",Weeekly,91470,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
42,"Stuck with U (with Justin Bieber)","Ariana Grande",91124,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
43,"Resah Jadi Luka","Daun Jatuh",90879,https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
44,"Life Goes On",BTS,89845,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
45,Dynamite,BTS,89258,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
46,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",87941,https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue
