,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heartbreak Anniversary",Giveon,380070,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2,"Blue Jeans",GANGGA,306817,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
3,Bertaut,"Nadin Amizah",282662,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
4,"At My Worst","Pink Sweat$",262676,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
5,"Melukis Senja","Budi Doremi",227845,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
6,"drivers license","Olivia Rodrigo",218593,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
7,Weak,"Larissa Lambert",193898,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
8,"Putus Atau Terus",Judika,188618,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
9,"To the Bone",Pamungkas,183341,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
10,"Mungkin Hari Ini Esok Atau Nanti",Anneth,179496,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
11,Snowman,Sia,173936,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
12,happy,Skinnyfabs,159415,https://open.spotify.com/track/2E532ozrMbRXwuZkpoegUP
13,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",152059,https://open.spotify.com/track/5AkV53fo1u01mi8r22JNeF
14,Yours,Raiden,144572,https://open.spotify.com/track/4KL3FJYexPrPuMdPagHPXp
15,Heather,"Conan Gray",142999,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
16,"Hurts So Good","Astrid S",131316,https://open.spotify.com/track/46ydq5g3k17iLJs3qMDvO6
17,"Katakan Saja",Khifnu,131236,https://open.spotify.com/track/012WiZSgTedjCImYNyA1bF
18,"Makna Cinta","Rizky Febian",130011,https://open.spotify.com/track/7B3zHfPqcLgV3DHcjQP2OM
19,34+35,"Ariana Grande",128988,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
20,Kota,Dere,124676,https://open.spotify.com/track/0SeBJ2sAl8CV58kBfpd5va
